index,StateAbbr,County,EthnicIdentity,Age,Gender,MaritalStatus,Veteran,Imprisoned,NumberInHousehold,AnnualIncome,AllowedIncome,Category,Subcategory,AskedOnUtc,ClosedOnUtc,PostText,sentiscore,sentiment,emotion,gen_emo
92729,CA,Sacramento,Latino or Hispanic,26.0,Female,Single,No,No,2.0,700.0,32470.0,Other,Wildfire or COVID-19: Personal Injury,2020-09-01 21:56:34,2020-09-09 17:06:09,daughter ordered pizza driver got apartment wasnt home according daughter told gonna put pizza table daughter drinking grabbed neck took bedroom throw bed Raped got home door looked never looks door epilepsy started screaming open door guy still room ran call police came Sherrif interviewed followed patrol car get Rape kit Done called Pizza werent willing help police went got information said consensual want go Pizza ones hire rapist delivering food help course theyre also criminal case still waiting evidence collected thank Linda,-0.8988,negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.1, 'Sad': 0.5, 'Fear': 0.4}",Sad
92730,CA,Sacramento,Latino or Hispanic,26.0,Female,Single,No,No,2.0,700.0,32470.0,Other,Wildfire or COVID-19: Personal Injury,2020-09-01 21:56:34,2020-09-09 17:06:09,Hello Linda Im sorry horrible thing happen daughter much would like help Californias Free Legal Answers attorneys allowed answer legal questions related COVIDor California Nevertheless may places find help issue Please see list possible resources Thank using CA Free Legal Answers hope one resources able help Sincerely PLACES HELPLegal Hotline Free Legal Aid providers county Law Help CA find Lawyer Referral Service County get regular paid attorney possibly lowfee attorney lowincome LRS County helpful agencies Veterans ABA Home FrontwwwabahomefrontorgABA Home Front provides legal information resources directory legal programs veterans service members military families Programs listed include military legal assistance offices legal aid pro bono organizations lawyer referral information services militaryspecific programs availableABA Military Pro Bono ProjectwwwmilitaryprobonoorgThe ABA Military Pro Bono Project accepts case referrals military attorneys behalf juniorenlisted activeduty military personnel facing civil legal issues works place cases pro bono attorneysSwords Plowshareshttpswwwswordstoplowsharesorg Employment Legal Aid WorkEqual Rights AdvocatesNational Center Lesbian Rights HousingLLTTenants Together Small Property Owners San Housing Economic Rights AdvocatesBay Area Legal Aid hotline Domestic ViolenceViolence familyFamily Violence Law Center OaklandCooperative Restraining Order ClinicLegal Aid San Bay Area Legal Aid hotline Family LawCA Courts SelfHelp Centers,0.9884,positive,"{'Happy': 0.17, 'Angry': 0.04, 'Surprise': 0.17, 'Sad': 0.12, 'Fear': 0.5}",Fear
92731,CA,Santa Clara,Other,37.0,Male,Married / remarried,No,No,4.0,50000.0,70230.0,Consumer Financial Questions,Wildfire or COVID-19: Debts & Purchases,2020-09-01 22:13:32,2020-09-23 15:47:29,recently sold car company called Shift days later informed could longer keep car found frame damage said could give whole sale quote said Id take quote probably wouldnt accept owed want pay offered emailed next morning would return car Tuesday accidentally paid title trying figure trying get pay money recoup money title dont know legal obligation,-0.8213,negative,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.14, 'Fear': 0.71}",Fear
92732,CA,Santa Clara,Other,37.0,Male,Married / remarried,No,No,4.0,50000.0,70230.0,Consumer Financial Questions,Wildfire or COVID-19: Debts & Purchases,2020-09-01 22:13:32,2020-09-23 15:47:29,Dear Mr KonsitzkeIf understand correctly Shift made initial offer took car inspected said could offer point received money Shift car owed declined offer paid lender still longer car received money correct want pay asking difference number title lender lender sent title ShiftDid communicate lender point ever obtain payoff letter payoff statement lender letter says much pay lender pay loanDid sign anything giving Shift permission pay loan bank released lien car Shift sign paperwork Shift lender assume answer file Notice Transfer Release Liability DMV document tells DMV sold carWhat goal want get car back Shift kept car loan paid would consider even want would willing pay Shift additional money settle dispute Based upon facts far since rejected Shifts offer sound like would obligated pay difference based mistake might depend whether signed agreements Shift also clear still owe money lender lender released payoff Shift Make sure gather keep documentation communications Shift especially rejection lender case Shift continues push issue Best luck,-0.9109,negative,"{'Happy': 0.04, 'Angry': 0.0, 'Surprise': 0.18, 'Sad': 0.25, 'Fear': 0.54}",Fear
92733,CA,Tulare,Caucasian,33.0,Male,Single,No,No,5.0,2000.0,89110.0,Housing and Homelessness,Wildfire or COVID-19: Housing or Landlord/Tenant,2020-09-02 03:08:40,2020-09-14 00:03:52,family currently told must leave home landlord sold house realtor assured would find would let us stay problem realtor working distressed property order flip profit assured family immunocompromised child would CONTINUE renting property tried bribe us threaten remove us running scheme breached fiduciary duties disclosing information owner family figured yesterday buyer also century office landlords selling agent Much explain gone week first party buyer backed apologized family suggested contact someone house live way distressed somehow convinced elderly landlord sell around less fair market value ultimate question kicked chaos pandemic paid time two years month month lease model renters,-0.0909,negative,"{'Happy': 0.0, 'Angry': 0.09, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.48}",Fear
92734,CA,Tulare,Caucasian,33.0,Male,Single,No,No,5.0,2000.0,89110.0,Housing and Homelessness,Wildfire or COVID-19: Housing or Landlord/Tenant,2020-09-02 03:08:40,2020-09-14 00:03:52,Hello sorry learn current situation question covered lot ground let start first answering ultimate question family financially impacted COVID may able take advantage new law enacted days ago protects tenants evicted nonpayment rent end detail new law case however new landlord likely evict giving notice quit meaning monthtomonth tenant renting year general rule landlord must give notice quit begin eviction proceedings written agreement landlord may want consult case different rights listed property sold new buyer new buyer generally purchases property subject existing rental agreements means sale rental home complete buyer must give notice cannot kick immediately sounds like may inappropriate dealings buyer realtor original landlord Unfortunately dont think described email changes notice rule realtors giving landlord assurances new buyer would let stay probably doesnt give additional rights stay home unless promise effect purchase agreement prove condition sale Also realtor fiduciary duties duties likely extend realtors clients assuming landlord Late last month Governor signed new law effect called Tenant Homeowner Small Landlord Relief Stabilization Act new law provides tenant cannot evicted COVID long tenant completes declaration hardship penalty perjury pays least rent due period time though obligated pay rent full period time ends declaration relatively straightforward requires declare oath following statement true currently unable pay rent financial obligations lease full one following Loss income caused COVID Increased outofpocket expenses directly related performing essential work COVID Increased expenses directly related health impacts COVID Childcare responsibilities responsibilities care elderly disabled sick family member directly related COVID Increased costs childcare attending elderly disabled sick family member directly related COVID circumstances related COVIDAny public assistance including unemployment insurance pandemic unemployment assistance state disability insurance SDI paid family leave received since start COVIDor increased expensesIf family financially impacted pandemic may useful option explore next months give time find new home know stated model tenant pays rent time suggesting declare something untruthful consider whether pandemic financially impacted extent considering new protections option following link factsheet contains information new law httpswwwgovcagovwpcontentuploadsFactsheetTenantHomeownerandSmallLandlordReliefandStabilizationActofpdf Note earn income K may need provide evidence financial hardship requested landlordI hope information provided email helpful,0.9538,positive,"{'Happy': 0.05, 'Angry': 0.09, 'Surprise': 0.2, 'Sad': 0.19, 'Fear': 0.48}",Fear
92735,CA,Butte,Caucasian,32.0,Male,Divorced or Widowed,No,No,2.0,32000.0,32470.0,Other,Wildfire or COVID-19: Other related issue,2020-09-02 06:45:05,2020-09-10 21:31:11,HelloI company named Tidel access bank account closed freetrail continue take money bank tried stop use merchant code get back take money bank US bank tried contact company try tell never existed thier end However went sign boom yet stop payments never authorized lt alone reacces account bank tried stop switch card new one company said would refund money sent new card account info looked online found done thousand people Please help,-0.296,negative,"{'Happy': 0.09, 'Angry': 0.0, 'Surprise': 0.09, 'Sad': 0.0, 'Fear': 0.82}",Fear
92736,CA,Butte,Caucasian,32.0,Male,Divorced or Widowed,No,No,2.0,32000.0,32470.0,Other,Wildfire or COVID-19: Other related issue,2020-09-02 06:45:05,2020-09-10 21:31:11,Please file police report fraud also need ask US Banks Fraud Department investigateHere info US BankReport Identity Theft FraudUS Bank committed protecting personal information Fraud Liaison Center help Call us tollfree youve victim fraud identity theft toclose accounts open new onesreplace credit cards debit cardsobtain referral Identity Theft Assistance Center ITAC,-0.8625,negative,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.89}",Fear
92737,CA,Alameda,Caucasian,63.0,Male,Married / remarried,No,No,4.0,42000.0,70230.0,Other,Wildfire or COVID-19: Other related issue,2020-09-02 17:33:51,2020-09-18 00:56:18,wife refund garnished penalty assessed back taxes unfairly assessed due error IRS efiling filed abroad form f filed country time filer country received correspondence knew nothing assessed tax taxes garnished filed amended tax return immediately filed appeal IRS Appeals Since case bounced back forth offices back finally never received notices status case Finally case closed recently exactly dont know never received correspondence IRS representative appeals closed informed could file case Federal Tax Court misinformed court open cases plaintiff paid taxes penalties need help filing case nearest office US District Court advice proceed case,-0.7783,negative,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.07, 'Fear': 0.57}",Fear
92738,CA,Alameda,Caucasian,63.0,Male,Married / remarried,No,No,4.0,42000.0,70230.0,Other,Wildfire or COVID-19: Other related issue,2020-09-02 17:33:51,2020-09-18 00:56:18,Hello much would like help legal issue Californias Free Legal Answers attorneys allowed answer legal questions related COVIDor California Nevertheless may places find help issue Please see list possible resourcesThank using CA Free Legal Answers hope one resources helpful SincerelyAdministratorCalifornia Free Legal Answers places find helpThere may services help list resourcesFree Disaster Legal Assistance HOTLINE Spanish speakersSpanish speaking users call Press option number one Usarios Hispanohablantes llaman Opriman opcion unoTo search free legal aid providers county Law Help CA find Lawyer Referral Service County get regular paid attorney possibly lowfee attorney lowincome LRS County Disaster Legal Services Covid Disaster Legal Services helpful agencies Veterans ABA Home FrontwwwabahomefrontorgABA Home Front provides legal information resources directory legal programs veterans service members military families Programs listed include military legal assistance offices legal aid pro bono organizations lawyer referral information services militaryspecific programs availableABA Military Pro Bono ProjectwwwmilitaryprobonoorgThe ABA Military Pro Bono Project accepts case referrals military attorneys behalf juniorenlisted activeduty military personnel facing civil legal issues works place cases pro bono attorneys Swords Plowshareshttpswwwswordstoplowsharesorg Employment Legal Aid WorkEqual Rights AdvocatesNational Center Lesbian Rights HousingLLTTenants Together Small Property Owners San Housing Economic Rights AdvocatesBay Area Legal Aid hotline Domestic ViolenceViolence familyFamily Violence Law Center OaklandCooperative Restraining Order ClinicLegal Aid San Bay Area Legal Aid hotline Family LawCA Courts SelfHelp Centers,0.9812,positive,"{'Happy': 0.21, 'Angry': 0.03, 'Surprise': 0.14, 'Sad': 0.17, 'Fear': 0.45}",Fear
