StateAbbr,County,EthnicIdentity,Age,Gender,MaritalStatus,Veteran,Imprisoned,NumberInHousehold,AnnualIncome,Category,Subcategory,AskedOnUtc,ClosedOnUtc,Uno,emotion
GA,Cobb,African American,28.0,Female,Single,No,No,3.0,25000.0,Housing and Homelessness,Housing or Property Owned,2018-06-05 17:56:03,2018-10-26 13:50:55,829EE265-58D7-4147-8B7D-C9F06F855B3C,fear
GA,Houston,African American,34.0,Female,Single,No,No,2.0,24000.0,Housing and Homelessness,Housing or Property Owned,2018-06-06 19:29:42,2018-10-26 13:51:24,FCB607B8-3EA2-44C3-958A-13C97B32B448,sad
GA,Cook,African American,33.0,Male,Single,No,No,7.0,28000.0,Family and Children,Family/Divorce/Custody,2018-06-07 13:08:43,2018-10-01 16:48:31,49D3A554-E5C5-48F9-ACB7-6575683F5CF6,sad
GA,Cook,African American,33.0,Male,Single,No,No,7.0,28000.0,Family and Children,Family/Divorce/Custody,2018-06-07 13:08:43,2018-10-01 16:48:31,49D3A554-E5C5-48F9-ACB7-6575683F5CF6,sad
GA,Cook,African American,33.0,Male,Single,No,No,7.0,28000.0,Family and Children,Family/Divorce/Custody,2018-06-07 13:08:43,2018-10-01 16:48:31,49D3A554-E5C5-48F9-ACB7-6575683F5CF6,sad
GA,Cherokee,Caucasian,44.0,Female,Married / remarried,Yes,No,5.0,60000.0,Housing and Homelessness,Housing or Property Owned,2018-06-07 13:19:44,2018-10-26 13:52:31,9FBB5FDF-8E64-4813-897B-F98AC35A241D,sad
GA,Coweta,Caucasian,33.0,Male,Divorced or Widowed,No,No,2.0,24960.0,Family and Children,Family/Divorce/Custody,2018-06-08 15:10:34,2018-09-21 17:05:03,FC5B30FB-A1B3-4347-8490-2D97B14E473D,fear
GA,Coweta,Caucasian,33.0,Male,Divorced or Widowed,No,No,2.0,24960.0,Family and Children,Family/Divorce/Custody,2018-06-08 15:10:34,2018-09-21 17:05:03,FC5B30FB-A1B3-4347-8490-2D97B14E473D,fear
GA,Cherokee,Other,38.0,Female,Separated,No,No,3.0,21000.0,Family and Children,Family/Divorce/Custody,2018-06-09 00:00:04,2018-06-09 15:37:03,850059D7-7D13-487E-8FCE-4B7E218FB7C0,fear
GA,Cherokee,Other,38.0,Female,Separated,No,No,3.0,21000.0,Family and Children,Family/Divorce/Custody,2018-06-09 00:00:04,2018-06-09 15:37:03,850059D7-7D13-487E-8FCE-4B7E218FB7C0,fear
GA,Gwinnett,African American,43.0,Female,Single,No,No,4.0,8346.0,Other,Other,2018-06-10 19:16:16,2018-07-06 14:13:20,7D375CBC-1CA8-484C-85B8-F4675F74E588,fear
GA,Gwinnett,African American,43.0,Female,Single,No,No,4.0,8346.0,Other,Other,2018-06-10 19:16:16,2018-07-06 14:13:20,7D375CBC-1CA8-484C-85B8-F4675F74E588,fear
GA,Clarke,Caucasian,37.0,Female,Single,No,No,1.0,10000.0,Individual Rights,Civil/Constitutional Rights,2018-06-11 04:39:51,2018-10-26 13:53:27,0DCF79E6-90A7-4D3A-9FFF-29488CF6D5D4,happy
GA,Richmond,Caucasian,58.0,Male,Single,No,No,1.0,17000.0,Health and Disability,Health Care,2018-06-11 22:17:01,2018-10-21 14:25:59,6E2561EE-B766-436F-863F-895310B6BFEC,sad
GA,Richmond,Caucasian,58.0,Male,Single,No,No,1.0,17000.0,Health and Disability,Health Care,2018-06-11 22:17:01,2018-10-21 14:25:59,6E2561EE-B766-436F-863F-895310B6BFEC,sad
GA,Ben Hill,Other,54.0,Female,Single,No,No,2.0,30000.0,Other,Other,2018-06-12 03:40:24,2018-10-26 13:55:27,FC268800-F2FE-48BE-82E7-17A333093891,fear
GA,Fulton,African American,40.0,Female,Married / remarried,No,No,4.0,30000.0,Consumer Financial Questions,Debts & Purchases,2018-06-12 14:02:53,2018-10-10 17:03:17,BAC14DC9-51B1-4329-8CF6-0A4F908BAA5A,fear
GA,Fulton,African American,40.0,Female,Married / remarried,No,No,4.0,30000.0,Consumer Financial Questions,Debts & Purchases,2018-06-12 14:02:53,2018-10-10 17:03:17,BAC14DC9-51B1-4329-8CF6-0A4F908BAA5A,fear
GA,Fulton,African American,40.0,Female,Married / remarried,No,No,4.0,30000.0,Consumer Financial Questions,Debts & Purchases,2018-06-12 14:02:53,2018-10-10 17:03:17,BAC14DC9-51B1-4329-8CF6-0A4F908BAA5A,fear
GA,Cherokee,Caucasian,35.0,Male,Divorced or Widowed,No,No,2.0,22000.0,Family and Children,Family/Divorce/Custody,2018-06-12 17:35:45,2018-06-23 19:32:48,C3A7ABF9-2C99-4D23-93B3-F8747566C07E,surprise
GA,Cherokee,Caucasian,35.0,Male,Divorced or Widowed,No,No,2.0,22000.0,Family and Children,Family/Divorce/Custody,2018-06-12 17:35:45,2018-06-23 19:32:48,C3A7ABF9-2C99-4D23-93B3-F8747566C07E,surprise
GA,Cherokee,Caucasian,35.0,Male,Divorced or Widowed,No,No,2.0,22000.0,Family and Children,Family/Divorce/Custody,2018-06-12 17:35:45,2018-06-23 19:32:48,C3A7ABF9-2C99-4D23-93B3-F8747566C07E,surprise
GA,Camden,Other,45.0,Other,Other,,No,5.0,38000.0,Other,Other,2018-06-12 19:53:13,2018-06-27 15:55:13,95E7CEEC-1BA7-418A-9412-5EE62DBBA6B3,fear
GA,Harris,Caucasian,46.0,Female,Divorced or Widowed,No,No,2.0,0.0,Consumer Financial Questions,Debts & Purchases,2018-06-13 02:48:24,2018-10-26 13:56:02,579EC8B1-7353-45D1-AB70-D25FC60B8617,sad
GA,Fulton,African American,29.0,Female,Single,No,No,4.0,14000.0,Other,Other,2018-06-13 22:44:41,2018-06-26 16:08:11,F1E9020E-7052-4318-8A23-112DD681BB27,fear
GA,Fulton,African American,29.0,Female,Single,No,No,4.0,14000.0,Other,Other,2018-06-13 22:44:41,2018-06-26 16:08:11,F1E9020E-7052-4318-8A23-112DD681BB27,fear
GA,Fulton,African American,29.0,Female,Single,No,No,4.0,14000.0,Other,Other,2018-06-13 22:44:41,2018-06-26 16:08:11,F1E9020E-7052-4318-8A23-112DD681BB27,fear
GA,Fulton,African American,29.0,Female,Single,No,No,4.0,14000.0,Other,Other,2018-06-13 22:44:41,2018-06-26 16:08:11,F1E9020E-7052-4318-8A23-112DD681BB27,fear
GA,Lee,Caucasian,51.0,Female,Single,No,No,2.0,0.0,Other,Other,2018-06-14 11:13:42,2018-10-26 13:56:43,4A29EFC8-4A28-44D9-B575-4E6FF20D578D,fear
GA,Forsyth,Caucasian,45.0,Female,Divorced or Widowed,No,No,3.0,40539.0,Consumer Financial Questions,Debts & Purchases,2018-06-14 13:54:21,2018-10-26 13:58:14,53CE72C0-BF50-4084-8BB4-C321989C3EFD,fear
GA,Walton,Caucasian,29.0,Male,Married / remarried,No,No,4.0,42000.0,Housing and Homelessness,Housing or Property Owned,2018-06-14 18:37:57,2018-10-01 17:43:31,3DC9803B-65E9-420C-9ED6-65202BA67098,fear
GA,Walton,Caucasian,29.0,Male,Married / remarried,No,No,4.0,42000.0,Housing and Homelessness,Housing or Property Owned,2018-06-14 18:37:57,2018-10-01 17:43:31,3DC9803B-65E9-420C-9ED6-65202BA67098,fear
GA,Franklin,Caucasian,25.0,Male,Single,No,No,1.0,10000.0,Family and Children,Family/Divorce/Custody,2018-06-14 20:04:40,2018-10-26 13:58:43,FD4AB037-E57D-4088-A88B-37309CCFBAE2,fear
GA,Cherokee,Other,45.0,Other,Other,,No,3.0,35000.0,Family and Children,Family/Divorce/Custody,2018-06-15 21:06:04,2018-10-26 13:59:16,62291C06-A525-4E93-B770-38C942575752,fear
GA,DeKalb,African American,26.0,Female,Single,No,No,1.0,13000.0,Housing and Homelessness,Housing or Property Owned,2018-06-19 02:11:10,2018-10-26 13:59:47,662AF962-E16D-484A-830E-1A59FB46ADE2,fear
GA,Dooly,Other,53.0,Other,Other,,No,1.0,20000.0,Consumer Financial Questions,Debts & Purchases,2018-06-19 15:05:11,2018-07-06 14:01:20,6026628B-A950-43E5-8C7E-8D01BB6B3720,happy
GA,Dooly,Other,53.0,Other,Other,,No,1.0,20000.0,Consumer Financial Questions,Debts & Purchases,2018-06-19 15:05:11,2018-07-06 14:01:20,6026628B-A950-43E5-8C7E-8D01BB6B3720,happy
GA,Cherokee,Caucasian,39.0,Female,Divorced or Widowed,No,No,4.0,36000.0,Other,Other,2018-06-19 16:55:31,2018-11-04 17:37:17,E1377EFA-4855-4EF5-A3F6-D6EF95B0970F,sad
GA,Cherokee,Caucasian,39.0,Female,Divorced or Widowed,No,No,4.0,36000.0,Other,Other,2018-06-19 16:55:31,2018-11-04 17:37:17,E1377EFA-4855-4EF5-A3F6-D6EF95B0970F,sad
GA,Cherokee,Caucasian,39.0,Female,Divorced or Widowed,No,No,4.0,36000.0,Other,Other,2018-06-19 16:55:31,2018-11-04 17:37:17,E1377EFA-4855-4EF5-A3F6-D6EF95B0970F,sad
GA,Cherokee,Caucasian,33.0,Male,Other,Yes,No,3.0,30000.0,Other,Other,2018-06-19 20:53:21,2018-10-26 14:00:16,4134877F-C7FF-47CA-A901-526B62BF4656,fear
GA,DeKalb,Other,28.0,Male,Married / remarried,No,No,1.0,28000.0,Other,Other,2018-06-20 01:09:30,2018-10-20 13:52:54,6F196B43-8B25-4EFB-A0B0-94C98BFEE0FF,fear
GA,DeKalb,Other,28.0,Male,Married / remarried,No,No,1.0,28000.0,Other,Other,2018-06-20 01:09:30,2018-10-20 13:52:54,6F196B43-8B25-4EFB-A0B0-94C98BFEE0FF,fear
GA,Muscogee,African American,31.0,Female,Single,No,No,3.0,25000.0,Consumer Financial Questions,Debts & Purchases,2018-06-20 01:58:14,2018-10-26 14:01:08,BF6C0D2B-3768-40B6-886E-7C2262219062,fear
