Happy,Angry,Surprise,Sad,Fear,emotion
0.12,0.06,0.09,0.26,0.47,fear
0.0,0.0,0.0,1.0,0.0,sad
0.08666666666666667,0.13,0.10333333333333335,0.3833333333333333,0.3,sad
0.0,0.0,0.1,0.5,0.4,sad
0.115,0.0,0.07,0.305,0.505,fear
0.0,0.0,0.25,0.125,0.625,fear
0.02,0.08,0.085,0.16999999999999998,0.635,fear
0.5,0.0,0.0,0.0,0.5,happy
0.09,0.025,0.08,0.48000000000000004,0.32499999999999996,sad
0.0,0.0,0.1,0.4,0.5,fear
0.36000000000000004,0.0,0.0,0.0,0.64,fear
0.04666666666666667,0.04666666666666667,0.3933333333333333,0.27,0.24,surprise
0.06,0.05,0.03,0.4,0.46,fear
0.0,0.0,0.0,0.5,0.5,sad
0.0475,0.0,0.03,0.4175,0.505,fear
0.04,0.0,0.04,0.43,0.5,fear
0.0,0.0,0.0,0.0,1.0,fear
0.175,0.0,0.22000000000000003,0.22000000000000003,0.385,fear
0.0,0.0,0.0,0.0,1.0,fear
0.25,0.0,0.12,0.0,0.62,fear
0.0,0.0,0.0,0.25,0.75,fear
0.0,0.0,0.0,0.0,0.0,happy
0.16666666666666666,0.0,0.0,0.5,0.3333333333333333,sad
0.2,0.0,0.2,0.2,0.4,fear
0.0,0.0,0.21000000000000002,0.165,0.625,fear
0.0,0.07,0.14,0.21,0.57,fear
0.06,0.15333333333333332,0.12333333333333334,0.18666666666666668,0.47000000000000003,fear
0.15,0.04,0.23,0.27,0.31,fear
0.11,0.22,0.06,0.22,0.39,fear
0.0,0.0,0.67,0.0,0.33,surprise
0.0,0.33,0.0,0.33,0.33,angry
0.13,0.0,0.13,0.26,0.48,fear
0.0,0.0,0.5,0.0,0.5,surprise
0.06,0.0,0.0,0.28,0.67,fear
0.0,0.0,0.3,0.3,0.4,fear
0.015,0.05,0.16999999999999998,0.315,0.445,fear
0.1,0.05,0.05,0.29,0.52,fear
0.31,0.06,0.06,0.25,0.31,happy
0.0,0.25,0.0,0.5,0.25,sad
0.09,0.04,0.17,0.22,0.48,fear
0.1,0.07,0.03,0.17,0.62,fear
0.12,0.08,0.04,0.2,0.56,fear
0.0,0.016666666666666666,0.08333333333333333,0.19000000000000003,0.37666666666666665,fear
0.0,0.0,0.0,0.29000000000000004,0.71,fear
0.17,0.0,0.33,0.17,0.33,surprise
0.12,0.03,0.12,0.32,0.41,fear
0.0,0.0,0.1,0.1,0.3,fear
0.055,0.0,0.055,0.155,0.7350000000000001,fear
0.0,0.0,0.12,0.38,0.5,fear
0.0,0.0,0.098,0.242,0.6599999999999999,fear
0.0,0.0,0.0,0.0,0.0,happy
0.08,0.0,0.12,0.2,0.6,fear
0.05,0.035,0.21000000000000002,0.135,0.5700000000000001,fear
0.0,0.0,0.07,0.285,0.645,fear
0.0,0.2,0.33,0.035,0.43000000000000005,fear
0.06,0.06,0.0,0.28,0.61,fear
0.0,0.0,0.0,1.0,0.0,sad
0.16,0.05,0.21,0.11,0.47,fear
0.09,0.27,0.27,0.18,0.18,angry
0.0,0.18,0.09,0.36,0.36,sad
0.0,0.0,0.0,0.5,0.5,sad
0.0,0.08,0.08,0.77,0.08,sad
0.5,0.0,0.0,0.5,0.0,happy
0.065,0.07,0.14250000000000002,0.16,0.31499999999999995,fear
0.0,0.0,0.0,0.5,0.0,sad
0.11000000000000001,0.0,0.13,0.19,0.5700000000000001,fear
0.0,0.0,0.04,0.26,0.7,fear
0.0,0.0,0.33,0.0,0.67,fear
0.0,0.0,0.0,0.0,0.0,happy
